Date,AdjCloseUSD
19/12/11,22.22
20/12/11,22.66
21/12/11,22.43
22/12/11,22.47
23/12/11,22.66
27/12/11,22.67
28/12/11,22.48
29/12/11,22.65
30/12/11,22.60
03/01/12,23.30
04/01/12,23.85
05/01/12,24.10
06/01/12,24.47
09/01/12,24.15
10/01/12,24.24
11/01/12,24.13
12/01/12,24.38
13/01/12,24.59
17/01/12,24.60
18/01/12,24.58
19/01/12,24.48
20/01/12,25.86
23/01/12,25.88
24/01/12,25.54
25/01/12,25.73
26/01/12,25.68
27/01/12,25.45
30/01/12,25.78
31/01/12,25.71
01/02/12,26.02
02/02/12,26.07
03/02/12,26.33
06/02/12,26.29
07/02/12,26.42
08/02/12,26.69
09/02/12,26.79
10/02/12,26.55
13/02/12,26.62
14/02/12,26.51
15/02/12,26.33
16/02/12,27.42
17/02/12,27.38
21/02/12,27.55
22/02/12,27.40
23/02/12,27.49
24/02/12,27.58
27/02/12,27.47
28/02/12,27.93
29/02/12,27.81
01/03/12,28.29
02/03/12,28.11
05/03/12,27.87
06/03/12,27.66
07/03/12,27.90
08/03/12,28.05
09/03/12,28.03
12/03/12,28.08
13/03/12,28.63
14/03/12,28.72
15/03/12,28.79
16/03/12,28.57
19/03/12,28.22
20/03/12,28.03
21/03/12,27.96
22/03/12,28.04
23/03/12,28.05
26/03/12,28.56
27/03/12,28.50
28/03/12,28.21
29/03/12,28.15
30/03/12,28.27
02/04/12,28.29
03/04/12,27.99
04/04/12,27.35
05/04/12,27.62
09/04/12,27.25
10/04/12,26.70
11/04/12,26.59
12/04/12,27.15
13/04/12,27.00
16/04/12,27.23
17/04/12,27.55
18/04/12,27.29
19/04/12,27.17
20/04/12,28.41
23/04/12,28.15
24/04/12,27.97
25/04/12,28.22
26/04/12,28.14
27/04/12,28.02
30/04/12,28.06
01/05/12,28.05
02/05/12,27.87
03/05/12,27.83
04/05/12,27.15
07/05/12,26.86
08/05/12,26.73
09/05/12,26.95
10/05/12,26.94
11/05/12,27.30
14/05/12,26.88
15/05/12,26.65
16/05/12,26.37
17/05/12,26.21
18/05/12,25.82
21/05/12,26.24
22/05/12,26.25
23/05/12,25.68
24/05/12,25.64
25/05/12,25.63
29/05/12,26.07
30/05/12,25.88
31/05/12,25.75
01/06/12,25.09
04/06/12,25.18
05/06/12,25.15
06/06/12,25.89
07/06/12,25.78
08/06/12,26.15
11/06/12,25.49
12/06/12,25.83
13/06/12,25.69
14/06/12,25.88
15/06/12,26.48
18/06/12,26.32
19/06/12,27.08
20/06/12,27.28
21/06/12,26.58
22/06/12,27.08
25/06/12,26.35
26/06/12,26.48
27/06/12,26.61
28/06/12,26.38
29/06/12,26.98
02/07/12,26.95
03/07/12,27.13
05/07/12,27.08
06/07/12,26.63
09/07/12,26.46
10/07/12,26.23
11/07/12,25.84
12/07/12,25.25
13/07/12,25.92
16/07/12,25.97
17/07/12,26.16
18/07/12,26.86
19/07/12,27.05
20/07/12,26.57
23/07/12,25.83
24/07/12,25.71
25/07/12,25.43
26/07/12,25.72
27/07/12,26.25
30/07/12,26.14
31/07/12,25.99
01/08/12,25.94
02/08/12,25.75
03/08/12,26.24
06/08/12,26.42
07/08/12,26.69
08/08/12,26.75
09/08/12,26.90
10/08/12,26.83
13/08/12,26.80
14/08/12,26.75
15/08/12,26.81
16/08/12,27.33
17/08/12,27.43
20/08/12,27.29
21/08/12,27.35
22/08/12,27.12
23/08/12,26.87
24/08/12,27.13
27/08/12,27.25
28/08/12,27.20
29/08/12,27.21
30/08/12,26.92
31/08/12,27.36
04/09/12,26.98
05/09/12,26.98
06/09/12,27.83
07/09/12,27.48
10/09/12,27.28
11/09/12,27.34
12/09/12,27.33
13/09/12,27.47
14/09/12,27.71
17/09/12,27.71
18/09/12,27.68
19/09/12,27.57
20/09/12,27.92
21/09/12,27.69
24/09/12,27.33
25/09/12,26.98
26/09/12,26.79
27/09/12,26.78
28/09/12,26.42
01/10/12,26.18
02/10/12,26.33
03/10/12,26.51
04/10/12,26.66
05/10/12,26.50
08/10/12,26.44
09/10/12,26.00
10/10/12,25.73
11/10/12,25.70
12/10/12,25.93
15/10/12,26.20
16/10/12,26.18
17/10/12,26.27
18/10/12,26.19
19/10/12,25.43
22/10/12,24.86
23/10/12,24.90
24/10/12,24.77
25/10/12,24.75
26/10/12,25.05
31/10/12,25.34
01/11/12,26.21
02/11/12,26.19
05/11/12,26.31
06/11/12,26.51
07/11/12,25.82
08/11/12,25.58
09/11/12,25.60
12/11/12,25.06
13/11/12,24.25
14/11/12,24.03
15/11/12,23.86
16/11/12,23.74
19/11/12,23.93
20/11/12,23.91
21/11/12,24.12
23/11/12,24.80
26/11/12,24.52
27/11/12,24.24
28/11/12,24.49
29/11/12,24.12
30/11/12,23.83
03/12/12,23.66
04/12/12,23.61
05/12/12,23.87
06/12/12,23.93
07/12/12,23.69
10/12/12,24.12
11/12/12,24.46
12/12/12,24.38
13/12/12,24.27
14/12/12,24.00
17/12/12,24.26
18/12/12,24.67
19/12/12,24.45
20/12/12,24.78
21/12/12,24.57
24/12/12,24.22
26/12/12,24.04
27/12/12,24.13
28/12/12,23.77
31/12/12,23.91
02/01/13,24.72
03/01/13,24.39
04/01/13,23.94
07/01/13,23.89
08/01/13,23.77
09/01/13,23.90
10/01/13,23.69
11/01/13,24.02
14/01/13,24.07
