Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-07-05,624.0,641.7,623.8,630.3,630.95,1128.0,77.0,711712.0,596.0,52.84,17.9,6.3
2017-07-04,628.0,630.85,617.0,620.2,621.21,1070.0,42.0,664692.0,679.0,63.46,13.85,-7.8
2017-07-03,615.05,634.0,615.05,632.15,628.37,146.0,25.0,91742.0,128.0,87.67,18.95,17.1
2017-06-30,620.0,625.0,617.0,619.3,619.33,440.0,17.0,272504.0,238.0,54.09,8.0,-0.7
2017-06-29,616.05,625.0,605.5,621.5,617.93,3805.0,98.0,2351233.0,1784.0,46.89,19.5,5.45
2017-06-28,620.0,620.0,608.0,609.55,612.62,1700.0,89.0,1041460.0,1050.0,61.76,12.0,-10.45
2017-06-27,629.45,629.45,612.0,615.25,616.21,1444.0,75.0,889801.0,1235.0,85.53,17.45,-14.2
2017-06-23,634.0,634.0,612.0,622.95,624.74,4693.0,112.0,2931897.0,732.0,15.6,22.0,-11.05
2017-06-22,640.1,644.35,635.45,640.45,640.28,535.0,21.0,342551.0,392.0,73.27,8.9,0.35
2017-06-21,648.0,648.0,640.0,640.15,641.39,992.0,46.0,636259.0,860.0,86.69,8.0,-7.85
2017-06-20,639.0,650.0,631.0,639.75,640.14,3761.0,134.0,2407574.0,2871.0,76.34,19.0,0.75
2017-06-19,630.0,644.95,624.05,634.85,632.26,1313.0,70.0,830160.0,986.0,75.1,20.9,4.85
2017-06-16,628.0,630.0,621.0,630.0,625.54,1543.0,34.0,965203.0,1410.0,91.38,9.0,2.0
2017-06-15,628.85,633.0,624.95,629.0,627.61,1287.0,69.0,807739.0,1111.0,86.32,8.05,0.15
2017-06-14,623.95,628.45,623.95,627.1,625.39,1093.0,47.0,683555.0,920.0,84.17,4.5,3.15
2017-06-13,621.0,627.0,617.1,622.95,621.92,689.0,41.0,428500.0,516.0,74.89,9.9,1.95
2017-06-12,625.0,634.9,621.0,621.45,628.19,2264.0,35.0,1422226.0,274.0,12.1,13.9,-3.55
2017-06-09,626.0,630.9,621.1,628.75,626.62,2768.0,67.0,1734473.0,2355.0,85.08,9.8,2.75
2017-06-08,625.2,629.75,622.0,627.9,626.66,572.0,23.0,358447.0,524.0,91.61,7.75,2.7
2017-06-07,627.0,629.45,620.0,627.0,625.4,1017.0,90.0,636032.0,649.0,63.82,9.45,0.0
2017-06-06,623.0,629.2,623.0,626.25,626.25,1253.0,55.0,784686.0,1035.0,82.6,6.2,3.25
2017-06-05,625.1,631.5,622.0,622.7,625.06,898.0,51.0,561303.0,655.0,72.94,9.5,-2.4
2017-06-02,621.0,638.0,620.0,625.1,630.91,3522.0,122.0,2222058.0,1542.0,43.78,18.0,4.1
2017-06-01,621.1,630.0,620.0,621.5,622.65,2008.0,78.0,1250280.0,1447.0,72.06,10.0,0.4
2017-05-31,636.35,636.35,621.0,625.05,629.03,2839.0,177.0,1785818.0,1785.0,62.87,15.35,-11.3
2017-05-30,665.0,665.0,628.0,643.1,642.51,5947.0,449.0,3821016.0,3247.0,54.6,37.0,-21.9
2017-05-29,650.0,670.0,637.0,665.0,651.19,3075.0,123.0,2002420.0,1613.0,52.46,33.0,15.0
2017-05-26,653.1,670.0,640.0,659.75,655.01,6165.0,227.0,4038140.0,1414.0,22.94,30.0,6.65
